1,Sushi Aoyama Japanese Restaurant,Damansara Perdana
2,Yuk Zhan Hiong Food Shop,Kepong
3,paperfish,TTDI
4,Sushi Aoyama Japanese Restaurant,Damansara Perdana
5,paperfish,TTDI
6,A Pie Thing,Damansara Uptown
7,A Pie Thing,Damansara Uptown
8,Yuk Zhan Hiong Food Shop,Kepong
9,Yuk Zhan Hiong Food Shop,Kepong
10,A&W,A&W SRI PETALING
11,Enoshima Japanese Restaurant (Formely known as Nichinan),"G(E)-010 & TL(E)-09/02, Mid Valley Megamall"
12,Enoshima Japanese Restaurant (Formely known as Nichinan),"G(E)-010 & TL(E)-09/02, Mid Valley Megamall"
13,A&W,A&W SRI PETALING
14,Chir Chir Malaysia,"1.108.00, Pavilion Elite"
15,Chir Chir Malaysia,"1.108.00, Pavilion Elite"
16,A&W,A&W SRI PETALING
17,Yuk Zhan Hiong Food Shop,Kepong
18,A&W,A&W SRI PETALING
19,Bentoya,"F1-AV-196A, Sunway Pyramid"
20,Bentoya,"F1-AV-196A, Sunway Pyramid"
21,Bavarian Bierhaus,Wisma UOA II
22,Bavarian Bierhaus,Wisma UOA II
23,Outback Steakhouse,"LG 27 & 28, NU Sentral"
24,Outback Steakhouse,"LG 27 & 28, NU Sentral"
